Word,Meaning,obsolete
it,"The third-person singular personal pronoun that is normally used to refer to an inanimate object, also often used to refer to animals.",0
you,"(object pronoun) The people spoken, or written to, as an object.",0
he,(personal) A male person or animal already known or implied.,0
which,(interrogative) What one or ones (of those mentioned or implied).,0
she,(personal) The female person or animal previously mentioned or implied.,0
we,"(personal) The speakers/writers, or the speaker/writer and at least one other person (not the person being addressed). (This is the exclusive we.)",0
her,"The form of she used after a preposition or as the object of a verb; that woman, that ship, etc.",0
there,"Used as an expletive subject of be in its sense of exist, with the semantic, usually indefinite subject being postponed or (occasionally) implied.",0
what,"(interrogative) Which thing, event, circumstance, etc.: used interrogatively in asking for the specification of an identity, quantity, quality, etc.",0
who,(interrogative) What person or people; which person or people; asks for the identity of someone. (used in a direct or indirect question),0
them,Objective case of they: third personal plural pronoun used after a preposition or as the object of a verb.,0
him,A masculine pronoun; he as a grammatical object.,0
me,As the direct object of a verb.,0
one,(impersonal pronoun) One thing (among a group of others); one member of a group.,0
us,(personal) Me and at least one other person; the objective case of 'we'.,0
something,An uncertain or unspecified thing; one thing.,0
nothing,Not any thing; no thing.,0
himself,(reflexive) Him; the male object of a verb or preposition that also appears as the subject,0
anything,"Any object, act, state, event, or fact whatever; thing of any kind; something or other; aught.",0
itself,(reflexive) it; A thing as the object of a verb or preposition that also appears as the subject,0
themselves,"The reflexive case of 'they', the third-person plural personal pronoun. The group of people, animals or objects previously mentioned, as the object of a verb or following a preposition (also used for emphasis).",0
whose,"(interrogative) Of whom, belonging to whom.",0
someone,Some person.,0
everything,(literally) All the things under discussion.,0
herself,(reflexive) Her; the female object of a verb or preposition that also appears as the subject.,0
anyone,Any person; anybody.,0
whatever,No matter what; for any,0
everyone,Every person.,0
whom,"What person or people; which person or people, as the object of a verb.",0
myself,"(reflexive) Me, as direct or indirect object the speaker as the object of a verb or preposition, when the speaker is also the subject.",0
yourself,(reflexive) Your own self (singular).,0
none,"Not any of a given number or group, particularly:",0
somebody,Some unspecified person.,0
everybody,All people.,0
nobody,Not any person; the logical negation of somebody.,0
anybody,Any one out of an indefinite number of persons; anyone; any person.,0
plenty,More than enough.,0
mine,My; belonging to me; that which belongs to me.,0
ourselves,(reflexive) Us; the group including the speaker as the object of a verb or preposition when that group also is the subject.,0
yours,That which belongs to you (singular); the possessive second-person singular pronoun used without a following noun.,0
no-one,Alternative form of no one,0
ours,"That which belongs to us; the possessive case of we, used without a following noun.",0
ye,(archaic outside Northern England Cornwall Ireland) You (the people being addressed).,0
yer,(UK slang or dialectal uncommon) Eye dialect of you,0
theirs,"That which belongs to them; the possessive case of they, used without a following noun.",0
whatsoever,(obsolete) whatever,1
whichever,Any one or a number of a group.,0
thou,"(archaic literary religious ceremonial, or dialectal) you singular nominative case",0
oneself,"The person, previously mentioned.",0
nought,Nothing; zero.,0
summat,(British Northern England Yorkshire) Something.,0
'im,(colloquial) Representing a pronunciation of 'him' that drops the h.,0
em,"(neologism) them (singular). Gender-neutral third-person singular object pronoun, coordinate with him and her.",0
'er,Eye dialect of her,0
he/she,"He or she; singular of they, used as a gender-neutral reference to the third person singular.",0
yu,Eye dialect of you,0
nowt,"(Northern England) Naught, nothing.",0
ah,"Eye dialect of I#Pronoun, most often indicating that the speaker is using a Scottish or American (particularly Southern) accent.",0
'is,Eye dialect of his,0
owt,"(Northern England) aught, anything",0
meself,(slang or dialectal UK) Alternative form of myself,0
dem,nonstandard form of them,0
nothin',Eye dialect of nothing,0
'un,(colloquial) one (a thing).,0
naught,(Archaic) Nothing.,0
somethin',informal spelling of something,0
thine,(Archaic) Singular second person possessive pronoun.,0
aught,"anything whatever, any part.",0
yerself,(nonstandard or dialectal) Alternative form of yourself,0
thyself,(archaic literary dialectal) yourself (as the object of a verb or preposition or as an intensifier); reflexive case of thou,0
she/he,"She or he; singular of they, used as a gender-neutral reference to the third person singular.",0
somewhat,(Archaic) Something.,0
theirselves,(nonstandard) Alternative form themselves,0
nuffink,Eye dialect of nothing,0
ourself,"The reflexive of the editorial or royal we; myself as used by a writer or speaker who would refer to himself in the nominative case as we. (Normally, the reflexive case of we is ourselves).",0
whomsoever,"whichever person, whomever",0
dere,pronunciation spelling of there,0
anythin',informal spelling of anything,0
whomever,Objective case of whoever.,0
themself,"The reflexive form of 'they', the third-person singular personal pronoun. The single person previously mentioned, as the object of a verb or following a preposition (also used for emphasis).",0
dey,Eye dialect of they,0
youse,Alternative form of yous,0
whosoever,whichever person; whoever,0
theirself,(nonstandard) Alternative form of themself.,0
you-know-who,Person or entity whose name one does not want to mention but which is known to the person to whom one is speaking.,0
hisself,(nonstandard now _ chiefly dialect) Variant form himself,0
hirself,"(neologism reflexive) hir, themself; Gender-neutral third-person singular object of a verb or preposition that also appears as the subject, coordinate with gendered himself and herself.",0
everythin',Alternative form of everything,0
mesen,(dialect) Myself.,0
what-have-you,(colloquial) Alternative spelling of what have you.,0
hym,Obsolete spelling of him,0
someting,Eye dialect of something,0
hir,"(neologism) them (singular). Gender-neutral third-person singular object pronoun, coordinate with him and her.",0
nuthin,Eye dialect spelling of nothing,0
m'self,obsolete form of myself,1
whate'er,(poetic) contraction of whatever,0
youself,Eye dialect of yourself,0
a,(obsolete outside England and Scotland _ dialects) He.,1
ownself,(Singlish emphatic) own self.,0
some-body,Obsolete spelling of somebody,0
yo'self,(dialect) Eye dialect spelling of yourself,0
hem,obsolete form of 'em,1
'emselves,(colloquial) unstressed form of themselves,0
cha,(dialectal nonstandard) You.,0
hersen,,0
hitself,(dialectal) Alternative form of itself,0
oursen,,0
thair,archaic spelling of their,0
wee,obsolete emphatic we,1
theyr,Obsolete spelling of their,0
theyself,(nonstandard) themselves,0
theyselves,(nonstandard dialect) themselves,0
few,"Few people, few things.",0
thi sen,(Yorkshire) Eye dialect of yourself,0
'a,(Archaic) Alternative form of a (pronoun),0
all the world,Everyone.,0
thselves,Abbreviation of themselves,0
what's-his-name,"A person or entity, particularly male, whose name one does not remember but that is known to the person to which one is speaking.",0
hit,(dialectal) It.,0
noone,nonstandard spelling of no one,0
you gals,(idiomatic colloquial chiefly North America Australia NZ) You (plural).,0
whatshername,(informal) A female person whose name cannot be recalled.,0
noöne,Dated form of no one,0
sie,"(neologism) Gender-neutral (or multigendered) subject pronoun, grammatically equivalent to the gendered pronouns he and she, or singular they",0
overmuch,Too much,0
you guys,(idiomatic colloquial chiefly North America Australia NZ) You (plural).,0
yiz,Alternative form of youz,0
Me,Alternative form of me often used when speaking as God or another important figure who is understood from context.,0
enuf,deliberate misspelling of enough,0
zir,"(neologism) them (singular). Gender-neutral third-person singular accusative (object) pronoun, coordinate with him and her.",0
missen,(Yorkshire colloquial) Myself.,0
wi,(Geordie) us,0
me fein,(Ireland informal) myself.,0
hor,(Geordie) her,0
such,"A person, a thing, people or things like the one or ones already mentioned.",0
whatso,(obsolete) whatever,1
whome,Obsolete spelling of whom,0
me fellow,"(Australian Aboriginal) we, us",0
Thine,honoraltcaps thine,0
youuns,Alternative spelling of you-uns,0
that's,"(rare nonstandard) Whose, of which.",0
yon,(dated or dialectal) That one or those over there.,0
all y'all,(chiefly US South) Plural form of you.,0
youz,(slang eye dialect) Alternative spelling of yous,0
all y'all's,(chiefly Southern US colloquial) Possessive of 'all y'all' (standing in for 'all your').,0
this,"The thing, item, etc. being indicated.",0
shi,(neologism furry fandom) Alternative form of sie,0
nish,nothing.,0
such like,Alternative spelling of suchlike,0
whomso,"(obsolete) whichever person, whomever",1
youze,Alternative spelling of yous,0
al.,Other things.,0
you lot,(idiomatic colloquial chiefly UK may have disparaging nuance) You (plural).,0
whomst,(nonstandard),0
this and that,Various unspecified things.,0
"me, myself and I",Only me; myself alone.,0
you name it,"(informal idiomatic) Used, often after a short list, to show that further examples are unnecessary; all kinds of things",0
hissen,,0
(s)he,"He or she; singular of they, used as a gender-neutral form of the third person singular.",0
suchlike,Other things of the same kind or type.,0
thame,(Scotland obsolete) them,1
yowe,obsolete form of you,1
ze,"(neologism) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
She,honoraltcaps she,0
everthang,Eye dialect of everything,0
she or he,Alternative form of he or she,0
much,A large amount or great extent.,0
this one,"A specified object, thing or person (especially one nearby or known)",0
co,"(neologism nonstandard) they (singular). Gender-neutral subject pronoun, coordinate with gendered pronouns he and she.",0
jack shit,"(vulgar) nothing, anything",0
dat,(slang dialectal nonstandard AAVE) that,0
dis,(slang or eye dialect) This.,0
damn all,(informal vulgar) Nothing (not any thing: no thing).,0
nuthin',Eye dialect of nothing,0
where,The place in which.,0
yas,nonstandard spelling of yous,0
many,A collective mass of people.,0
everwho,(Appalachian) Whoever.,0
nuthing,Eye dialect spelling of nothing,0
every body,(Archaic) Obsolete spelling of everybody,0
certain,(with of) Unnamed or undescribed members (of).,0
noot,(Geordie) nothing,0
you-all,Alternative spelling of you all,0
zirself,(reflexive neologism) zir; the gender-neutral object of a verb or preposition that also appears as the subject,0
you-know-what,"The name of something the speaker does not want to mention, but which is known, or very likely to be known, to the listener. It can be plural (as in &quot;... the you-know-whats).",0
nother,(obsolete outside UK and Caribbean _ dialects) Neither.,1
ou,"(obsolete or dialectal) he, she, it",1
You-Know-Who,Alternative spelling of you-know-who,0
Her,honoraltcaps her,0
SMTH,Alternative form of smth,0
you-uns,(US dialectal Midwestern US and Appalachia) You (as subject or object).,0
her ass,(vulgar slang the third person singular) she.,0
ich,(personal obsolete) I.,1
smth,(Internet slang) Abbreviation of something,0
somthing,Obsolete spelling of something,0
nother,(obsolete) Another.,1
yoo,Eye dialect of you,0
Her Excellency,"(formal) A title of respect for females used when referring to heads of state, heads of government, governors, ambassadors, certain ecclesiastics, royalty, and others holding equivalent rank.",0
zis,Eye dialect of this,0
e'ryting,(colloquial) Alternative spelling of everything,0
fuck all,(idiomatic vulgar) Nothing at all or very little.,0
ev'rythang,(colloquial) Alternative spelling of everything,0
nothin,apocopic form of nothing,0
Her Imperial Majesty,a title of respect used when referring to an empress,0
hse,(nonstandard) A gender-neutral pronoun.,0
evrythin,(Archaic) Alternative spelling of everything,0
summet,(British dialectal obsolete) Alternative form of summat,1
ev'rything,Eye dialect spelling of everything,0
Her Maj,(British humorous) Her Majesty.,0
thissen,(Yorkshire colloquial) Yourself.,0
evrything,Obsolete spelling of everything,0
Her Majesty,(formal) A title of respect used when referring to a queen.,0
thissun,contraction of this 'un tr=this one,0
ev'ryting,Eye dialect of everything,0
sich,Eye dialect of such,0
der,nonstandard spelling of there,0
her nibs,"Alternative form of his nibs, when referring to a female.",0
Her Royal Highness,"A title given to certain female members of a royal family, abbreviated HRH.",0
Her Royal Majesty,(formal) A title of respect used when referring to a queen.,0
thems,(Appalachian colloquial) variant of 'those'.,0
the whole world,Everybody.,0
yo,"(Baltimore) third-person singular, familiar",0
every man Jack,(Idiomatic) All the members of a group with no exceptions.,0
quhat,(especially Scottish) Obsolete spelling of what,0
ev'ythang,(colloquial nonstandard) Alternative spelling of everything,0
every one,&amp;lit every one,0
ev'ythin',(colloquial) Alternative spelling of everything,0
Myself,Alternative form of myself used when speaking as God or another important figure who is understood from context.,0
quhatsoever,(especially Scotland) Obsolete spelling of whatsoever,0
ALCON,(military) Abbreviation of all concerned,0
ev'ything,(colloquial) Alternative spelling of everything,0
myselfe,Obsolete spelling of myself,0
eirs,"(neologism) That which belongs to em, theirs (singular). Possessive case of gender-neutral ey, coordinate with his and hers.",0
mysell,Eye dialect of myself,0
eirself,"(neologism reflexive nonstandard) themself; gender-neutral object of a verb or preposition that also appears as the subject, coordinate with himself or herself.",0
myselven,(obsolete) myself,1
not a one,None whatsoever.,0
myselves,(reflexive nonstandard) me; used to indicate the speaker as an entity with more than one self.,0
nothing to write home about,(Idiomatic) Not exceptional; not noteworthy or especially good.,0
quhich,(often _ Scottish) Obsolete spelling of which,0
quho,(often _ Scottish) Obsolete spelling of who,0
ought,Alternative spelling of aught; anything,0
yores,Eye dialect of yours,0
coself,"(neologism reflexive nonstandard) Gender-neutral object of a verb or preposition that also appears as the subject, grammatically equivalent to himself or herself.",0
sombody,Misspelling of somebody,0
hella,"(slang chiefly Northern California) a lot; or, a hell of a lot.",0
Majesty,a term of address for royalty and imperiality,0
othersome,(now _ dialectal _ or _ poetic) Some others.,0
mickle,(now _ chiefly Scotland) A large amount or great extent.,0
summot,(British dialectal obsolete) Alternative form of summat,1
a few,A small number of things.,0
nothink,Eye dialect of nothing,0
summut,(British dialectal obsolete) Alternative form of summat,1
everybody and their brother,(Idiomatic) A large number of people; most people.,0
everybody and their dog,(Idiomatic) A large number of people; most people.,0
fele,(dialectal or obsolete) Many (of).,1
sombuddy,(AAVE) Eye dialect of somebody,0
My,Alternative form of my often used when speaking as God or another important figure who is understood from context.,0
sombudy,(AAVE) Eye dialect of somebody,0
Mine,Alternative form of mine often used when speaking as God or another important figure who is understood from context.,0
thay,Obsolete spelling of they,0
allyou,(Caribbean dialect) Plural form of you.,0
mee,(obsolete) Me.,1
my ass,"(slang vulgar) I, myself; oneself in the third person.",0
oi,(representing rural dialect pronunciation) I.,0
yur,Eye dialect of your,0
dar,Alternative form of there,0
we-uns,(US _ regional) We; us.,0
Oi,(south west _ England) Eye dialect of I,0
tho,(obsolete) Those; they.,1
everybuddy,Eye dialect of everybody,0
some,"A certain number, at least one.",0
everycunt,(vulgar chiefly Scotland) Everyone.,0
dese,(slang nonstandard) these,0
ilkon,Each one; everyone,0
some body,Obsolete spelling of somebody,0
yee,(archaic and Geordie) you (the people being addressed); alternate spelling of ye,0
ilkoon,,0
what have you,"Any of several additional, unmentioned things",0
Godself,(reflexive) God,0
we'uns,Alternative form of we-uns,0
hoo,"(South Lancashire, Yorkshire and Derbyshire) she",0
one and all,"(Idiomatic) The entire set of persons or things within a given domain, considered both as separate individuals and collectively.",0
everyone and his brother,(Idiomatic) A large number of people; most people.,0
sumpin',Eye dialect of something,0
xe,"(nonstandard) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
everyone and their brother,(Idiomatic) A large number of people; most people.,0
all,Everything.,0
everyone and their dog,(Idiomatic) A large number of people; most people.,0
limpeh,"(Singapore informal impolite) A reference to oneself in the third person, taking on the stance of a superior.",0
everyone and their grandma,Synonym of everyone and their mother,0
one another,(reciprocal pronoun) Used of a reciprocal relationship among a group of two or more people or things; compare each other.,0
everyone and their mother,(Idiomatic) A large number of people; most people.,0
yorn,(dialect) Yours.,0
hu,"(neologism) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
everyone else,All other persons.,0
xem,(nonstandard) Object-case of xe.,0
no matter what,Whatever; used to indicate that the speaker would do the same thing regardless of the options.,0
yorself,Eye dialect of yourself,0
either,"(obsolete) Both, each of two or more.",1
mesilf,Eye dialect of myself,0
some1,(text messaging) informal form of someone,0
wat,(informal Internet text messaging) Alternative spelling of what,0
all and some,(obsolete idiomatic) one and all,1
thyne,Obsolete spelling of thine,0
y'awl,Eye dialect of y'all,0
yees,(dialectal) you,0
all and sundry,(collectively) All; everyone.,0
everypony,(My Little Pony _ fandom slang) Everybody.,0
somebody's,Possessive case of somebody.,0
everytang,(colloquial) Alternative spelling of everything,0
my nibs,his nibs in the first person,0
everythang,(slang) everything,0
somebuddy,(AAVE) Eye dialect of somebody,0
yaw'll,Eye dialect of y'all,0
somebudy,(dialectal) Eye dialect of somebody,0
toder,obsolete form of tother,1
ey,"(neologism epicene) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
somedeal,"Some part; a portion, something; some.",0
tha,(Northern England) Eye dialect of thou (parts of Yorkshire and Lancashire where the MOUTH vowel became [a:] and then shortened in an unstressed thou),0
any,Any thing(s) or person(s).,0
no one,"Not one person, nobody.",0
nobody's,Possessive case of nobody.,0
yoself,(dialect) Eye dialect spelling of yourself,0
everytin',(colloquial) Alternative spelling of everything,0
sumthin',Eye dialect of something,0
yeh,(dialectal) Eye dialect of you,0
each other,(reciprocal pronoun) To one another; one to the other; signifies that a verb applies to two or more entities both as subjects and as direct objects:,0
'hem,obsolete form of ’em,1
ch,(obsolete dialectal) Alternative form of I,1
everyting,Eye dialect of everything,0
someone else,Some other person.,0
sumthing,Eye dialect spelling of something,0
yo'selves,"(dialect) Yo' (plural), used as the object of a verb or preposition, referring to the people being spoken to, previously mentioned.",0
our asses,(vulgar slang the third person singular) we.,0
yoselves,"(dialect) Yo (plural), used as the object of a verb or preposition, referring to the people being spoken to, previously mentioned.",0
ch-,(obsolete attached to following verb) I; &lt;span class=&quot;use-with-mention&quot;&gt;clitic form of &lt;span class=&quot;mention&quot;&gt;ich&lt;/span&gt;.&lt;/span&gt;,1
Thou,honoraltcaps thou,0
anie,Obsolete spelling of any,0
noboody,Misspelling of nobody,0
somepin,Eye dialect of something,0
uz,(Geordie) me,0
nuttin',Eye dialect of nothing,0
nobuddy,Eye dialect of nobody,0
emself,"(neologism reflexive) em, themself; Gender-neutral object of a verb or preposition that also appears as the subject, the reflexive form of em.",0
somepody,Eye dialect of somebody,0
nobudy,Eye dialect of nobody,0
urs,(Internet slang text messaging) yours,0
eachother,(nonstandard proscribed) Alternative spelling of each other,0
nada,(informal colloquial) nothing,0
somepoty,Eye dialect of somebody,0
whether,(obsolete) Which of two.,1
another,The additional one of the same kind.,0
sum,(AAVE) Eye dialect spelling of some,0
her's,(now _ nonstandard) Alternative form of hers,0
nen,(Geordie) none,0
Your,honoraltcaps your,0
Her's,(now _ nonstandard) Alternative form of Hers,0
any old thing,(Idiomatic) anything at all,0
whethersoever,(rare obsolete) Whatever; whoever.,1
your all's,(colloquial nonstandard) Belonging to the multiple persons being addressed.,0
urself,(Internet slang text messaging) yourself,0
your ass,(vulgar slang) you.,0
Hers,honoraltcaps hers',0
self,"(obsolete) Himself, herself, itself, themselves; that specific (person mentioned).",1
nauther,(obsolete) Neither.,1
your asses,(vulgar slang the third person singular) you in the plural form.,0
little old me,(colloquial) me,0
sum1,(Internet slang text messaging) someone,0
our'n,Alternative form of ourn,0
thers,obsolete form of theirs,1
e'rybody,Eye dialect spelling of everybody,0
t'other,Alternative form of tother,0
ourn,(obsolete outside British and American _ dialects especially Appalachian) Ours.,1
Your Dukeness,(rare humorous) A pseudo-title of respect used towards a duke.,0
tother,(now dialectal) Other. Most often used after the.,0
somesing,Eye dialect of something,0
Your Excellency,"(formal) A title of respect used when addressing heads of state, heads of government, governors, ambassadors, certain ecclesiastics, royalty, and others holding equivalent rank.",0
feel,(dialectal or obsolete) Alternative form of fele,1
your grace,(formal obsolete) you (as a polite form of address to social superiors),1
Who,honoraltcaps who,0
zumat,(British dialectal obsolete) Alternative form of summat,1
Herself,honoraltcaps herself,0
your guys's,(colloquial chiefly North America Australia NZ) Possessive you guys.,0
sumat,(British dialectal obsolete) Alternative form of summat,1
Your Highness,(formal) A title of respect used to address a prince or princess.,0
Him,honoraltcaps him,0
anybody else,Synonym of anyone else,0
somethang,(slang) something,0
Your Highnessness,(jocular rare) Synonym of Your Highness,0
him/herself,"Himself or herself; singular of themselves, used as a reflexive and gender-neutral reference to the third-person singular.",0
one's,Belonging to one.,0
your Honor,(formal obsolete addressing someone of higher rank or status than oneself) you,1
xyrself,(reflexive neologism) xyr; the gender-neutral object of a verb or preposition that also appears as the subject,0
Your Honour,(British) A title used to address a judge or magistrate.,0
Your Imperial Majesty,"(formal) A title of respect used when addressing an emperor, or empress.",0
hirs,"(neologism) That which belongs to hir, theirs (singular). Possessive case of hir, used in place of a noun. Coordinate with his and hers.",0
Your Maj,(British humorous) Your Majesty.,0
anybody's,possessive form anybody,0
Your Majesty,"(formal) A title of respect used when addressing a monarch of higher rank than a prince; that is, a king, queen, emperor, or empress.",0
your man,&amp;lit your man,0
zummat,(British dialectal obsolete) Alternative form of summat,1
anybuddy,Eye dialect of anybody,0
zummet,(British dialectal obsolete) Alternative form of summat,1
anybudy,(dialectal) Eye dialect spelling of anybody,0
zummut,(British dialectal obsolete) Alternative form of summat,1
your mother,"(Polari) I, me",0
sumbody,(AAVE) Eye dialect spelling of somebody,0
whateffer,Eye dialect of whatever,0
zum'ot,(British dialectal obsolete) Alternative form of summat,1
sumbuddy,Eye dialect spelling of somebody,0
one's self,(dated) Alternative spelling of oneself,0
per,"(neologism) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
whatevah,Eye dialect spelling of whatever,0
your nibs,his nibs in the second person,0
Your Rottenness,(rare) A pseudo-title of respect used towards a villain or another unlikeable person.,0
the'e,eye-dialect of there,0
thon,"(non-standard rare see usage notes) they (singular). Gender-neutral third-person singular subject pronoun, coordinate with gendered pronouns he and she.",0
anyone else,Any other person.,0
bugger all,(chiefly British Australia New Zealand South Africa idiomatic vulgar) Nothing.,0
whiche,Obsolete spelling of which,0
Your Worship,A title used to address a magistrate or clergyman,0
piss all,(vulgar) Synonym of nothing,0
whatever floats your boat,(Idiomatic) What makes you happy; what stimulates you.,0
Your Worshipfulness,A pseudo-title of respect.,0
something to write home about,Something exceptional or noteworthy.,0
Thee,honoraltcaps thee,0
e'rythang,(colloquial) Alternative spelling of everything,0
thee sen,(Yorkshire) Eye dialect of yourself,0
which's,(colloquial nonstandard proscribed) Of which; alternative to inanimate sense of whose.,0
whichsoe'er,(poetic) Alternative spelling of whichsoever,0
whoes,obsolete form of whose,1
whichsoever,emphatic form whichever,0
whoever,Misspelling of who ever,0
hawt,(obsolete) Anything. (Alternative form of aught),1
thonself,"(neologism archaic reflexive) themself; gender-neutral object of a verb or preposition that also appears as the subject, coordinate with himself or herself, the reflexive form of thon.",0
tone,(now _ dialectal) The one (of two).,0
something's,Belonging to something.,0
anypony,(My Little Pony _ fandom slang) Anybody.,0
sumet,(British dialectal obsolete) Alternative form of summat,1
shee,Obsolete spelling of she.,0
overmany,Too many.,0
Himself,honoraltcaps himself,0
theeself,(archaic dialect) yourself,0
thoo,(Orkney) Thou; you.,0
anythang,(slang) anything,0
'um,(slang) an unstressed form of them,0
himselfe,Obsolete spelling of himself,0
himsell,Eye dialect of himself,0
e'rythin',Eye dialect spelling of everything,0
your'n,Alternative form of yourn,0
himselve,obsolete form of himself,1
e'rything,(colloquial nonstandard) Alternative spelling of everything,0
whatevs,(slang rare) Whatever.,0
You,honoraltcaps you,0
yourn,(obsolete outside British and American _ dialects especially Appalachian) Yours.,1
thor,(Geordie) their,0
usself,(obsolete or dialect) ourselves,1
your's,(Archaic) yours,0
whatevuh,(nonstandard) Alternative spelling of whatever,0
yer man,,0
you all,"Alternative form of all of you Plural form of you, including everyone being addressed.",0
anything else,Any other thing. (Not with a specific meaning),0
whoseever,Of whomever.,0
Yours,honoraltcaps yours,0
His,honoraltcaps his,0
elsewhat,(obsolete) Something else.,1
netherworld,"The place to which one's spirit descends upon death, conceived as below the surface of the earth.",0
whathaveyou,Alternative form of what have you,0
same,"The identical thing, ditto.",0
whosesoever,Of whomsoever.,0
y'all,(chiefly Southern US) Plural form of 'you'.,0
yours trulies,"(idiomatic informal) we, us, or ourselves",0
his ass,(vulgar slang the third person singular) he.,0
enough,"A sufficient or adequate number, amount, etc.",0
pers,"(neologism) That which belongs to per, theirs (singular).",0
His Excellency,"(formal) A title of respect for males used when referring to heads of state, heads of government, governors, ambassadors, certain ecclesiastics, royalty, and others holding equivalent rank.",0
thow,Obsolete spelling of thou,0
anythink,(UK) Eye dialect of anything,0
whosever,Of whomever.,0
ya'll,(chiefly AAVE) Alternative form of y'all,0
yours truly,"(idiomatic informal) I, me, or myself.",0
Yourself,honoraltcaps yourself,0
yuh,(chiefly Jamaica) you,0
whoso,"(Archaic) whosoever, whatever person",0
yourselfs,obsolete form of yourselves,1
that,"(demonstrative) The thing, person, idea, quality, event, action or time indicated or understood from context, especially if more remote geographically, temporally or mentally than one designated as &quot;this&quot;, or if expressing distinction.",0
His Imperial Majesty,a title of respect used when referring to an emperor,0
Thyself,honoraltcaps thyself,0
His Maj,(British humorous) His Majesty.,0
thyselves,(pseudo-archaic nonstandard) Yourselves: &lt;span class=&quot;use-with-mention&quot;&gt;a plural of the normally archaic pronoun &lt;span class=&quot;mention&quot;&gt;thyself&lt;/span&gt;&lt;/span&gt;.,0
anyting,Eye dialect of anything,0
y'all's,(US South) Possessive of 'y’all' (standing in for 'your').,0
His Majesty,(formal) A title of respect used when referring to a king.,0
thysen,(Yorkshire) thyself.,0
y'allself,(nonstandard rare) Yourself.,0
his nibs,"Mock title used to refer to an authoritative, bossy or demanding person.",0
y'allselves,(US nonstandard rare) Yourselves.,0
hee,Obsolete spelling of he .,0
yere,"(Irish) your (plural); of ye, belonging to ye",0
